path,label,role,is_fake,split
data/fake_id/mountain_bike/mountain_bike_0195.png,7,id,1,train
data/id_real/labrador_retriever/labrador_retriever_0084.jpg,6,id,0,train
data/fake_id/steam_locomotive/steam_locomotive_0141.png,11,id,1,train
data/id_real/sports_car/sports_car_0197.jpg,10,id,0,train
data/fake_id/goldfish/goldfish_0138.png,4,id,1,train
data/id_real/school_bus/school_bus_0067.jpg,9,id,0,train
data/fake_id/grand_piano/grand_piano_0077.png,5,id,1,train
data/fake_id/steam_locomotive/steam_locomotive_0089.png,11,id,1,train
data/id_real/steam_locomotive/steam_locomotive_0078.jpg,11,id,0,train
data/fake_id/steam_locomotive/steam_locomotive_0219.png,11,id,1,train
data/fake_id/bald_eagle/bald_eagle_0086.png,2,id,1,train
data/fake_id/ostrich/ostrich_0069.png,8,id,1,train
data/fake_id/tiger/tiger_0129.png,13,id,1,train
data/fake_id/african_elephant/african_elephant_0165.png,0,id,1,train
data/fake_id/sports_car/sports_car_0008.png,10,id,1,train
data/fake_id/ostrich/ostrich_0034.png,8,id,1,train
data/fake_id/steam_locomotive/steam_locomotive_0019.png,11,id,1,train
data/id_real/school_bus/school_bus_0073.jpg,9,id,0,train
data/id_real/grand_piano/grand_piano_0261.jpg,5,id,0,train
data/fake_id/african_elephant/african_elephant_0168.png,0,id,1,train
data/id_real/tiger/tiger_0107.jpg,13,id,0,train
data/fake_id/zebra/zebra_0043.png,14,id,1,train
data/fake_id/ostrich/ostrich_0091.png,8,id,1,train
data/fake_id/tiger/tiger_0160.png,13,id,1,train
data/fake_id/goldfish/goldfish_0025.png,4,id,1,train
data/fake_id/brown_bear/brown_bear_0128.png,3,id,1,train
data/fake_id/tabby_cat/tabby_cat_0009.png,12,id,1,train
data/id_real/grand_piano/grand_piano_0260.jpg,5,id,0,train
data/id_real/ostrich/ostrich_0104.jpg,8,id,0,train
data/fake_id/mountain_bike/mountain_bike_0219.png,7,id,1,train
data/id_real/zebra/zebra_0133.jpg,14,id,0,train
data/fake_id/goldfish/goldfish_0034.png,4,id,1,train
